epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59609,0,156.27,0,0.01504,0.03,0.00802,0.00503,3.44928,3.87271,2.82656,0.0001429,0.0001429,0.0001429
2,12.1506,0,145.328,0,0.0039,0.08,0.00272,0.00087,3.09555,15.427,2.84124,0.000294148,0.000294148,0.000294148
3,22.6682,0,61.3104,0,0.34736,0.01667,0.00263,0.00091,3.77658,12.2307,4.15047,0.000439172,0.000439172,0.000439172
4,33.5628,0,33.9501,0,0.33905,0.01333,0.00597,0.00214,4.57691,14.4495,4.39272,0.00057797,0.00057797,0.00057797
5,44.1971,0,20.6102,0,0.00957,0.08,0.0061,0.00136,nan,nan,nan,0.000710545,0.000710545,0.000710545
6,55.2838,0,12.9366,0,0.00084,0.03333,0.00051,0.00016,5.00069,4.27045,5.56637,0.000836894,0.000836894,0.000836894
7,66.7277,0,8.57958,0,0.00084,0.03333,0.00051,0.00016,nan,nan,nan,0.000957018,0.000957018,0.000957018
8,75.342,0,5.75054,0,0.00204,0.01667,0.00115,0.00011,nan,nan,nan,0.00107092,0.00107092,0.00107092
9,79.8737,0,4.00304,0,0.00422,0.00667,0.00227,0.00068,5.22608,5.55896,8.24043,0.00117859,0.00117859,0.00117859
10,83.9039,0,2.65641,0,0.00422,0.00667,0.00227,0.00068,4.89732,4.64463,5.03864,0.00117435,0.00117435,0.00117435
11,88.2021,0,1.91262,0,0.00422,0.00667,0.00227,0.00068,4.66556,4.91547,4.7924,0.00114606,0.00114606,0.00114606
12,92.2805,0,1.37178,0,0.00351,0.00667,0.00187,0.00037,5.00301,4.64799,5.16479,0.00111776,0.00111776,0.00111776
13,96.589,0,0.92379,0,0.00351,0.00667,0.00187,0.00037,5.08115,5.16563,5.71067,0.00108947,0.00108947,0.00108947
14,100.616,0,0.67544,0,0.00145,0.00667,0.00075,0.00037,4.97306,5.27645,14.8568,0.00106118,0.00106118,0.00106118
15,104.712,0,0.4731,0,0.00461,0.02,0.00254,0.00051,nan,nan,nan,0.00103288,0.00103288,0.00103288
16,108.692,0,0.33544,0,0.00135,0.00667,0.00071,7e-05,nan,nan,nan,0.00100459,0.00100459,0.00100459
17,112.72,0,0.23335,0,0.00327,0.00667,0.00184,0.00018,5.18834,5.87264,10.6217,0.000976293,0.000976293,0.000976293
18,116.8,0,0.1692,0,0.00327,0.00667,0.00184,0.00018,5.42059,6.64509,5.64129,0.000947999,0.000947999,0.000947999
19,120.803,0,0.13215,0,0.00327,0.00667,0.00184,0.00018,5.33037,6.71217,5.48457,0.000919704,0.000919704,0.000919704
20,125.23,0,0.09384,0,0.00327,0.00667,0.00184,0.00018,5.30971,6.542,4.72341,0.00089141,0.00089141,0.00089141
21,129.237,0,0.05562,0,0.00327,0.00667,0.00184,0.00018,5.47045,6.56312,4.68031,0.000863116,0.000863116,0.000863116
22,133.448,0,0.03871,0,0.00327,0.00667,0.00184,0.00018,5.34548,6.53629,4.51411,0.000834822,0.000834822,0.000834822
23,138.074,0,0.02704,0,0.00327,0.00667,0.00184,0.00018,5.03922,6.69278,4.60066,0.000806528,0.000806528,0.000806528
24,142.01,0,0.02013,0,0.00327,0.00667,0.00184,0.00018,5.14079,6.79027,4.90369,0.000778233,0.000778233,0.000778233
25,145.999,0,0.01356,0,0.00327,0.00667,0.00184,0.00018,4.97905,6.94019,4.86624,0.000749939,0.000749939,0.000749939
26,150.051,0,0.00888,0,0.00327,0.00667,0.00184,0.00018,4.95269,7.08443,5.03338,0.000721645,0.000721645,0.000721645
27,154.19,0,0.00657,0,0.00327,0.00667,0.00184,0.00018,4.92233,7.11475,5.10478,0.000693351,0.000693351,0.000693351
28,158.21,0,0.00394,0,0.00327,0.00667,0.00184,0.00018,4.87969,7.18418,4.98706,0.000665057,0.000665057,0.000665057
