epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.884,0,119.92,0,0.45642,0.01667,0.00891,0.00565,3.25224,5.32435,2.86346,0.0001429,0.0001429,0.0001429
2,15.1534,0,92.2786,0,0.06431,0.06,0.02749,0.00923,3.08826,5.09317,2.92307,0.000294148,0.000294148,0.000294148
3,22.17,0,38.6892,0,0.00486,0.17667,0.00489,0.0018,3.78052,4.02596,3.58517,0.000439172,0.000439172,0.000439172
4,26.8116,0,22.6717,0,0.00562,0.24,0.00488,0.00139,3.75752,8.11965,3.39917,0.00057797,0.00057797,0.00057797
5,30.5507,0,14.3001,0,0.00179,0.11333,0.00109,0.00019,4.92779,42.0388,4.3914,0.000710545,0.000710545,0.000710545
6,34.1885,0,9.28155,0,0.00149,0.14,0.00092,0.00019,5.10445,21.0197,4.65678,0.000836894,0.000836894,0.000836894
7,39.3206,0,6.55489,0,0.00055,0.08333,0.00037,9e-05,5.01578,4.70294,4.66785,0.000957018,0.000957018,0.000957018
8,41.4114,0,4.5526,0,0.00072,0.11667,0.00057,9e-05,5.06403,4.82729,4.61381,0.00107092,0.00107092,0.00107092
9,46.4154,0,3.30349,0,0.00049,0.1,0.00041,0.0001,5.06389,24.1402,6.18578,0.00117859,0.00117859,0.00117859
10,50.7821,0,2.45294,0,0.00051,0.03333,0.00105,0.00056,5.09106,4.75438,4.79404,0.00117435,0.00117435,0.00117435
11,52.8773,0,1.80243,0,0.00171,0.05,0.00101,0.00026,5.19452,4.84356,5.17689,0.00114606,0.00114606,0.00114606
12,54.9492,0,1.3113,0,0.00171,0.05,0.00101,0.00026,5.14203,5.24177,4.87315,0.00111776,0.00111776,0.00111776
13,59.8224,0,0.91999,0,0.00171,0.05,0.00101,0.00026,4.87364,5.34087,4.52476,0.00108947,0.00108947,0.00108947
14,64.7331,0,0.7014,0,0.00171,0.05,0.00101,0.00026,4.80817,5.41232,4.4993,0.00106118,0.00106118,0.00106118
15,67.0798,0,0.50573,0,0.00171,0.05,0.00101,0.00026,4.88698,5.56328,4.62562,0.00103288,0.00103288,0.00103288
16,69.1259,0,0.3713,0,0.00171,0.05,0.00101,0.00026,4.72635,5.67045,4.53123,0.00100459,0.00100459,0.00100459
17,71.1982,0,0.29032,0,0.00171,0.05,0.00101,0.00026,4.60176,5.88717,4.61516,0.000976293,0.000976293,0.000976293
18,73.2425,0,0.20189,0,0.00171,0.05,0.00101,0.00026,4.58454,6.00052,4.61112,0.000947999,0.000947999,0.000947999
19,78.2425,0,0.15578,0,0.00171,0.05,0.00101,0.00026,4.62357,6.06946,4.58412,0.000919704,0.000919704,0.000919704
20,81.9729,0,0.10856,0,0.00171,0.05,0.00101,0.00026,4.62628,6.27499,4.38139,0.00089141,0.00089141,0.00089141
21,84.3146,0,0.0788,0,0.00171,0.05,0.00101,0.00026,4.76405,6.31441,4.46677,0.000863116,0.000863116,0.000863116
22,86.3505,0,0.06193,0,0.00171,0.05,0.00101,0.00026,4.88938,6.42433,4.49551,0.000834822,0.000834822,0.000834822
